1	3	4	12	13	7	7	1	9,P6	16	11	11	11	14	7
1	2	15,P2	12,P2	13,P2	7,P2	7,P2	1	F	16,P2	11,P2	0,P2	0,P2	14,P2	7,P2
2	2	15,P2	12,P2	13,P2	7,P2	7,P2	2	F	16,P2	11,P2	0,P2	0,P2	14,P2	7,P2
F	3	4	12,P3	13,P3	7,P3	7,P3	17	F	16,P3	11,P3	0,P3	F	14,P3	7,P3
F	4	15,P3	12,P3	13,P3	7,P3	7,P3	18	F	16,P3	11,P3	0,P3	F	14,P3	7,P3
F	5	6	12,P3	13,P3	7,P3	7,P3	F	F	16,P3	11,P3	0,P3	F	14,P3	7,P3
F	6	F	12,P3	13,P3	7,P3	7,P3	F	F	16,P3	11,P3	0,P3	F	14,P3	7,P3
1,P5	3,P5	4,P5	F	F	7,P5	8,P6	1,P5	9,P5	F	11,P5	F	F	F	7,P5
1,P5	3,P5	4,P5	F	F	F	F	1,P5	9,P5	F	11,P5	F	F	F	F
9	9	9	9	9	9	9	9	0,P7	9	9	F	F	9	9
10	10	10	10	10	10	10	10	10	10	10	0,P7	0,P7	10	10
1,P4	3,P4	4,P4	12,P4	13,P4	7,P4	7,P4	1,P4	9,P4	16,P4	0,P4	0,P4	0,P4	14,P4	7,P4
1,P5	3,P5	4,P5	F	8,P6	7,P5	8,P6	1,P5	F	F	11,P5	F	F	F	7,P5
1,P5	3,P5	4,P5	F	F	7,P5	8,P6	1,P5	F	F	11,P5	F	F	F	7,P5
1,P4	3,P4	4,P4	F	F	F	8,P6	1,P4	F	F	11,P4	F	F	F	F
F	4	0,P4	F	F	F	F	F	F	F	F	0,P4	0,P4	F	F
2,P5	3,P5	4,P5	F	F	F	8,P6	2,P5	F	10	11,P5	F	F	F	F
F	5	F	F	F	F	F	F	F	F	F	F	F	F	5,P6
F	6	F	F	F	F	F	F	F	F	F	F	F	F	6,P6
